,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,emoji_count
12,1487841347423854593,1487131053114408964,2022-01-31 01:33:14 Malay Peninsula Standard Time,2022-01-31,01:33:14,800,1242700189032493056,t9d6eubea63fcxb,Tatiana Kucher,, globalcrisis we need to know the whole truth about the environment and the climate we are lied to for profit but lies can cost us our lives plastic environmental climatechange creativesociety,en,['creativescty'],[],[],0,0,0,"('', 0)",[],https://twitter.com/t9d6euBeA63fCxB/status/1487841347423854593,False,,0,,,"53.19171,50.19091,300km",,,,,"[{'screen_name': '_GlobalCrisis_', 'name': 'Global Crisis', 'id': '1429514676648480781'}]",,,,,0
13,1487840270565711878,1487840270565711878,2022-01-31 01:28:57 Malay Peninsula Standard Time,2022-01-31,01:28:57,800,1242700189032493056,t9d6eubea63fcxb,Tatiana Kucher,,it is important to distinguish between human influence and climatic conditions man has destroyed the environment but he has not affected the climate this is the truth plastic environmental climatechange creativesociety,en,['creativescty'],[],[],0,0,0,"('', 0)",[],https://twitter.com/t9d6euBeA63fCxB/status/1487840270565711878,False,https://twitter.com/_GlobalCrisis_/status/1487131053114408964,0,,,"53.19171,50.19091,300km",,,,,[],,,,,0
14,1501512871741698053,1500516561127305216,2022-03-09 18:59:00 Malay Peninsula Standard Time,2022-03-09,18:59:00,800,1242700189032493056,t9d6eubea63fcxb,Tatiana Kucher,, thank you for the speech the humanity is very gratifying austria climatechange creativesociety globalcrisis,en,"['creativescty', 'creativescty']",[],[],0,0,3,"('', 0)",[],https://twitter.com/t9d6euBeA63fCxB/status/1501512871741698053,False,,0,,,"53.19171,50.19091,300km",,,,,"[{'screen_name': 'CreativeScty', 'name': 'Creative Society', 'id': '1447138928570421256'}]",,,,,0
15,1501512400746565632,1501512400746565632,2022-03-09 18:57:07 Malay Peninsula Standard Time,2022-03-09,18:57:07,800,1242700189032493056,t9d6eubea63fcxb,Tatiana Kucher,,only unification can help us let us build a safe happy creative society austria climatechange creativesociety globalcrisis,en,['creativescty'],[],[],0,0,0,"('', 0)",[],https://twitter.com/t9d6euBeA63fCxB/status/1501512400746565632,False,https://twitter.com/CreativeScty/status/1500516561127305216,0,,,"53.19171,50.19091,300km",,,,,[],,,,,0
16,1500870903206400010,1500870903206400010,2022-03-08 00:28:02 Malay Peninsula Standard Time,2022-03-08,00:28:02,800,1242700189032493056,t9d6eubea63fcxb,Tatiana Kucher,,at a time of climatic threat people must help others to preserve life human life is the most important thing disasters climatechange creativesociety globalcrisis wewant live,en,['creativescty'],[],[],0,0,0,"('', 0)",[],https://twitter.com/t9d6euBeA63fCxB/status/1500870903206400010,False,https://twitter.com/_GlobalCrisis_/status/1499743463465750533,0,,,"53.19171,50.19091,300km",,,,,[],,,,,0
17,1493999659043328012,1493999659043328012,2022-02-17 01:24:10 Malay Peninsula Standard Time,2022-02-17,01:24:10,800,1242700189032493056,t9d6eubea63fcxb,Tatiana Kucher,,the climate is changing if you have the information it has it is obvious disasters climatechange creativesociety globalcrisis,en,['creativescty'],[],[],0,0,1,"('', 0)",[],https://twitter.com/t9d6euBeA63fCxB/status/1493999659043328012,False,https://twitter.com/_GlobalCrisis_/status/1493526213222187008,0,,,"53.19171,50.19091,300km",,,,,[],,,,,0
18,1493247609884061697,1490784934482505729,2022-02-14 23:35:48 Malay Peninsula Standard Time,2022-02-14,23:35:48,800,1242700189032493056,t9d6eubea63fcxb,Tatiana Kucher,, globalcrisis we need to know the truth about climate change it is the only thing that can save us solarsystem earth climatechange time truth globalcrisis,en,[],[],[],0,0,0,"('', 0)",[],https://twitter.com/t9d6euBeA63fCxB/status/1493247609884061697,False,,0,,,"53.19171,50.19091,300km",,,,,"[{'screen_name': '_GlobalCrisis_', 'name': 'Global Crisis', 'id': '1429514676648480781'}]",,,,,0
19,1493247311111245829,1493247311111245829,2022-02-14 23:34:36 Malay Peninsula Standard Time,2022-02-14,23:34:36,800,1242700189032493056,t9d6eubea63fcxb,Tatiana Kucher,,the truth can help keep people alive solarsystem earth climatechange time truth globalcrisis,en,[],[],[],0,0,0,"('', 0)",[],https://twitter.com/t9d6euBeA63fCxB/status/1493247311111245829,False,https://twitter.com/_GlobalCrisis_/status/1490784934482505729,0,,,"53.19171,50.19091,300km",,,,,[],,,,,0
20,1491313209965703173,1491313209965703173,2022-02-09 15:29:11 Malay Peninsula Standard Time,2022-02-09,15:29:11,800,1242700189032493056,t9d6eubea63fcxb,Tatiana Kucher,,let us take action we need to tell everyone that there is a way out climatechange pollution wewant live creativesociety globalcrisis,en,['creativescty'],[],[],0,0,0,"('', 0)",[],https://twitter.com/t9d6euBeA63fCxB/status/1491313209965703173,False,https://twitter.com/_GlobalCrisis_/status/1489682672733483009,0,,,"53.19171,50.19091,300km",,,,,[],,,,,0
21,1489964740822671364,1489964740822671364,2022-02-05 22:10:51 Malay Peninsula Standard Time,2022-02-05,22:10:51,800,1242700189032493056,t9d6eubea63fcxb,Tatiana Kucher,,the co scam must be uncovered this issue could cost the lives of many people climatechange carbontax co exposed creativesociety co ,en,['creativescty'],[],[],0,0,0,"('', 0)",[],https://twitter.com/t9d6euBeA63fCxB/status/1489964740822671364,False,https://twitter.com/_GlobalCrisis_/status/1488834671140130820,0,,,"53.19171,50.19091,300km",,,,,[],,,,,0
22,1487841347423854593,1487131053114408964,2022-01-31 01:33:14 Malay Peninsula Standard Time,2022-01-31,01:33:14,800,1242700189032493056,t9d6eubea63fcxb,Tatiana Kucher,, globalcrisis we need to know the whole truth about the environment and the climate we are lied to for profit but lies can cost us our lives plastic environmental climatechange creativesociety,en,['creativescty'],[],[],0,0,0,"('', 0)",[],https://twitter.com/t9d6euBeA63fCxB/status/1487841347423854593,False,,0,,,"53.19171,50.19091,300km",,,,,"[{'screen_name': '_GlobalCrisis_', 'name': 'Global Crisis', 'id': '1429514676648480781'}]",,,,,0
23,1487840270565711878,1487840270565711878,2022-01-31 01:28:57 Malay Peninsula Standard Time,2022-01-31,01:28:57,800,1242700189032493056,t9d6eubea63fcxb,Tatiana Kucher,,it is important to distinguish between human influence and climatic conditions man has destroyed the environment but he has not affected the climate this is the truth plastic environmental climatechange creativesociety,en,['creativescty'],[],[],0,0,0,"('', 0)",[],https://twitter.com/t9d6euBeA63fCxB/status/1487840270565711878,False,https://twitter.com/_GlobalCrisis_/status/1487131053114408964,0,,,"53.19171,50.19091,300km",,,,,[],,,,,0
